MSC,NR SZTAFETY,team,Kategoria dodatkowa,czas_netto,plec
200,629,KRUSZWICA - BUNGE 1,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:34:46,M
201,647,CANON RUNNING TEAM ,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:34:47,M
202,345,BUSINESS TRAVEL CLUB,,03:34:50,M
203,565,WITC DRUZYNA 4,,03:34:52,M
204,553,PTAKI GEPARDA,,03:34:54,M
205,316,POWERADE RUNNING TEAM I,,03:35:11,M
206,417,BIEGAM SE A CO,,03:35:16,M
207,261,AKTYWNI GRÓJEC,,03:35:19,M
208,538,KARDIOCHIRURGIA RZESZÓW,,03:35:21,M
209,593,GRUPA DESANTOWO SZTURMOWA,,03:35:25,M
210,523,RAIFFEISEN POLBANK BIEGAMY NIE TYLKO NA NARTACH,BANKÓW,03:35:29,M
211,110,ACCELERATE MŁPSZŁ,,03:35:36,M
212,639,SYGMA BANK 2,BANKÓW,03:35:38,M
213,454,PWC RUNNING TEAM II,,03:35:39,M
214,322,BAYER LIFE TEAM I,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:35:41,M
215,133,MIJA STORE DESIGN LAB,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:35:50,M
216,466,BENEFIA TEAM,,03:35:56,M
217,275,OPEL RUNNING TEAM,,03:36:01,M
218,113,ACCELERATE LUZACY,,03:36:14,M
219,256,WYDZIAŁ ELEKTRONIKI I TI PW - ABSOLWENCI,,03:36:18,M
220,195,TĘCZOWE SCHABOWE,,03:36:21,M
221,199,LINGARO RUNNING 2,,03:36:24,M
222,493,DRUNK SAMURAI C,,03:36:43,M
223,534,TORPEDOS,,03:36:47,M
224,292, EDC RUNNERS HPT  II,,03:36:55,M
225,483,KURYŁOWICZ&ASSOCIATES,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:37:00,M
226,529,DACPOL,,03:37:08,M
227,279,BIEGAMY Z OCHOTĄ,,03:37:12,M
228,235,CWANE GAPY,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:37:32,M
229,340,PKO BANK POLSKI II,BANKÓW,03:37:41,M
230,210,NALEWKA ZAPOMNIENIA,,03:37:43,M
231,250,NIEMAMSIŁ,,03:37:45,M
232,646,CBRE PŁONĄCE STOPY,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:37:54,M
233,201,ACP PHARMA S.A.,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:37:55,M
234,258,UL RUNNING TEAM,,03:37:58,M
235,459,BRITISH BULLDOGS,,03:38:06,M
236,443,I'M P...,,03:38:12,M
237,238,SIEDEMNASTKA,,03:38:13,M
238,188,COFACE POLAND 1,FIRM UBEZPIECZENIOWYCH,03:38:23,M
239,589,FLAKTWOODS,,03:38:29,M
240,645,AXA RUNNING TEAM 1,FIRM UBEZPIECZENIOWYCH,03:38:32,M
241,207,PEPSICO NONSUGABABES,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:38:37,M
242,251,UNI-PACK,,03:38:40,M
243,511,RAIFFEISEN POLBANK ZUSI TEAM,BANKÓW,03:38:47,M
244,441,SODEXO RUN BETA,,03:38:59,M
245,467,CARLSBERG,,03:39:00,M
246,406,TECHNICOLOR,,03:39:01,M
247,507,ARCADIS,,03:39:05,M
248,157,EGMONT - PĘDZĄCE ŻÓŁWIE,0,03:39:07,M
249,191,ROBERT BOSCH CI@WZ,,03:39:08,M
250,408,MP AMATIM,,03:39:15,M
251,500,DRUNK SAMURAI B,,03:39:23,M
252,244,BONAIR SA II,,03:39:28,M
253,314,UTC TEAM 4,BANKÓW,03:39:46,M
254,122,META JUŻ BLISKO,,03:39:53,M
255,296, EDC RUNNERS HR TEAM,,03:39:56,M
256,232,STEADFAST,,03:39:58,M
257,636,PFIZER POLSKA,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:40:00,M
258,249,ŻOLIBORZ BIEGA,,03:40:06,M
259,580,AVIVA RUNNING TEAM 4,FIRM UBEZPIECZENIOWYCH,03:40:17,M
260,567,E-POINT,,03:40:19,M
261,429,RRG,,03:40:21,M
262,451,PWC RUNNING TEAM,,03:40:33,M
263,615,TU INTER POLSKA TEAM 2,FIRM UBEZPIECZENIOWYCH,03:40:42,M
